Year,SUMLEV,REGION,DIVISION,STATE,NAME,SEX,AGE,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV
2010,40,3,6,1,Alabama,0,23,64175,,,,
2010,40,3,6,1,Alabama,0,24,62992,,,,
2010,40,3,6,1,Alabama,0,25,62794,,,,
2010,40,3,6,1,Alabama,0,26,60708,,,,
2010,40,3,6,1,Alabama,0,27,61324,,,,
2010,40,3,6,1,Alabama,0,28,61348,,,,
2010,40,3,6,1,Alabama,0,29,61778,,,,
2010,40,3,6,1,Alabama,0,30,63348,,,,
2010,40,3,6,1,Alabama,0,31,59619,,,,
2010,40,3,6,1,Alabama,0,32,58808,,,,
2010,40,3,6,1,Alabama,0,33,58629,,,,
2010,40,3,6,1,Alabama,0,34,56557,,,,
2010,40,3,6,1,Alabama,0,35,58752,,,,
2010,40,3,6,1,Alabama,0,36,57702,,,,
2010,40,3,6,1,Alabama,0,37,59155,,,,
2010,40,3,6,1,Alabama,0,38,62359,,,,
2010,40,3,6,1,Alabama,0,39,65590,,,,
2010,40,3,6,1,Alabama,0,40,64791,,,,
2010,40,3,6,1,Alabama,0,41,61369,,,,
2010,40,3,6,1,Alabama,0,42,59893,,,,
2010,40,3,6,1,Alabama,0,43,60359,,,,
2010,40,3,6,1,Alabama,0,44,62675,,,,
2010,40,3,6,1,Alabama,0,45,67204,,,,
2010,40,3,6,1,Alabama,0,46,68526,,,,
2010,40,3,6,1,Alabama,0,47,68697,,,,
2010,40,3,6,1,Alabama,0,48,69392,,,,
2010,40,3,6,1,Alabama,0,49,70405,,,,
2010,40,3,6,1,Alabama,0,50,71001,,,,
2010,40,3,6,1,Alabama,0,51,69296,,,,
2010,40,3,6,1,Alabama,0,52,69560,,,,
2010,40,3,6,1,Alabama,0,53,70045,,,,
2010,40,3,6,1,Alabama,0,54,67834,,,,
2010,40,3,6,1,Alabama,0,55,67090,,,,
2010,40,3,6,1,Alabama,0,56,65082,,,,
2010,40,3,6,1,Alabama,0,57,62285,,,,
2010,40,3,6,1,Alabama,0,58,60691,,,,
2010,40,3,6,1,Alabama,0,59,58997,,,,
2010,40,3,6,1,Alabama,0,60,58348,,,,
2010,40,3,6,1,Alabama,0,61,57750,,,,
2010,40,3,6,1,Alabama,0,62,57758,,,,
2010,40,3,6,1,Alabama,0,63,60111,,,,
2010,40,3,6,1,Alabama,0,64,44595,,,,
2010,40,3,6,1,Alabama,0,65,44618,,,,
2010,40,3,6,1,Alabama,0,66,44119,,,,
2010,40,3,6,1,Alabama,0,67,45537,,,,
2010,40,3,6,1,Alabama,0,68,39546,,,,
2010,40,3,6,1,Alabama,0,69,36700,,,,
2010,40,3,6,1,Alabama,0,70,35638,,,,
2010,40,3,6,1,Alabama,0,71,33802,,,,
2010,40,3,6,1,Alabama,0,72,32702,,,,
2010,40,3,6,1,Alabama,0,73,30123,,,,
2010,40,3,6,1,Alabama,0,74,29171,,,,
2010,40,3,6,1,Alabama,0,75,28177,,,,
2010,40,3,6,1,Alabama,0,76,25364,,,,
2010,40,3,6,1,Alabama,0,77,24282,,,,
2010,40,3,6,1,Alabama,0,78,23291,,,,
2010,40,3,6,1,Alabama,0,79,21936,,,,
2010,40,3,6,1,Alabama,0,80,21005,,,,
2010,40,3,6,1,Alabama,0,81,19000,,,,
2010,40,3,6,1,Alabama,0,82,17965,,,,
2010,40,3,6,1,Alabama,0,83,16511,,,,
2010,40,3,6,1,Alabama,0,84,14641,,,,
2010,40,3,6,1,Alabama,0,85,76150,,,,
2010,40,3,6,1,Alabama,0,999,4769781,,,,
2010,40,3,6,1,Alabama,1,0,30565,,,,
2010,40,3,6,1,Alabama,1,1,30484,,,,
2010,40,3,6,1,Alabama,1,2,31551,,,,
2010,40,3,6,1,Alabama,1,3,31737,,,,
2010,40,3,6,1,Alabama,1,4,31095,,,,
2010,40,3,6,1,Alabama,1,5,30926,,,,
2010,40,3,6,1,Alabama,1,6,31073,,,,
2010,40,3,6,1,Alabama,1,7,30903,,,,
2010,40,3,6,1,Alabama,1,8,31105,,,,
2010,40,3,6,1,Alabama,1,9,32785,,,,
2010,40,3,6,1,Alabama,1,10,33318,,,,
2010,40,3,6,1,Alabama,1,11,32493,,,,
2010,40,3,6,1,Alabama,1,12,32829,,,,
2010,40,3,6,1,Alabama,1,13,32571,,,,
2010,40,3,6,1,Alabama,1,14,32396,,,,
2010,40,3,6,1,Alabama,1,15,33173,,,,
2010,40,3,6,1,Alabama,1,16,34146,,,,
2010,40,3,6,1,Alabama,1,17,34678,,,,
2010,40,3,6,1,Alabama,1,18,35326,,,,
2010,40,3,6,1,Alabama,1,19,36028,,,,
2010,40,3,6,1,Alabama,1,20,36037,,,,
2010,40,3,6,1,Alabama,1,21,34142,,,,
2010,40,3,6,1,Alabama,1,22,32794,,,,
2010,40,3,6,1,Alabama,1,23,31894,,,,
2010,40,3,6,1,Alabama,1,24,31145,,,,
2010,40,3,6,1,Alabama,1,25,30920,,,,
2010,40,3,6,1,Alabama,1,26,29621,,,,
2010,40,3,6,1,Alabama,1,27,30082,,,,
2010,40,3,6,1,Alabama,1,28,30012,,,,
2010,40,3,6,1,Alabama,1,29,30280,,,,
2010,40,3,6,1,Alabama,1,30,31148,,,,
2010,40,3,6,1,Alabama,1,31,29117,,,,
2010,40,3,6,1,Alabama,1,32,28658,,,,
2010,40,3,6,1,Alabama,1,33,28583,,,,
2010,40,3,6,1,Alabama,1,34,27589,,,,
2010,40,3,6,1,Alabama,1,35,28682,,,,
2010,40,3,6,1,Alabama,1,36,28056,,,,
