STATE,Year,Population ,NAME,AGE,,,set_id,year,pieces,t1,descr
2,2010,5627,Alaska,48,,,,,,,
2,2010,5769,Alaska,49,,,,,,,
2,2010,6131,Alaska,50,,,,,,,
2,2010,5779,Alaska,51,,,,,,,
2,2010,5890,Alaska,52,,,,,,,
2,2010,5795,Alaska,53,,,,,,,
2,2010,5560,Alaska,54,,,,,,,
2,2010,5821,Alaska,55,,,,,,,
2,2010,5535,Alaska,56,,,,,,,
2,2010,5330,Alaska,57,,,,,,,
2,2010,5039,Alaska,58,,,,,,,
2,2010,4727,Alaska,59,,,,,,,
2,2010,4647,Alaska,60,,,,,,,
2,2010,4275,Alaska,61,,,,,,,
2,2010,3920,Alaska,62,,,,,,,
2,2010,3870,Alaska,63,,,,,,,
2,2010,2794,Alaska,64,,,,,,,
2,2010,2746,Alaska,65,,,,,,,
2,2010,2600,Alaska,66,,,,,,,
2,2010,2483,Alaska,67,,,,,,,
2,2010,2081,Alaska,68,,,,,,,
2,2010,1906,Alaska,69,,,,,,,
2,2010,1679,Alaska,70,,,,,,,
2,2010,1428,Alaska,71,,,,,,,
2,2010,1379,Alaska,72,,,,,,,
2,2010,1217,Alaska,73,,,,,,,
2,2010,1093,Alaska,74,,,,,,,
2,2010,1006,Alaska,75,,,,,,,
2,2010,900,Alaska,76,,,,,,,
2,2010,823,Alaska,77,,,,,,,
2,2010,721,Alaska,78,,,,,,,
2,2010,705,Alaska,79,,,,,,,
2,2010,701,Alaska,80,,,,,,,
2,2010,592,Alaska,81,,,,,,,
2,2010,528,Alaska,82,,,,,,,
2,2010,441,Alaska,83,,,,,,,
2,2010,384,Alaska,84,,,,,,,
2,2010,1682,Alaska,85,,,,,,,
2,2010,352527,Alaska,999,,,,,,,
2,2010,5335,Alaska,0,,,,,,,
2,2010,5301,Alaska,1,,,,,,,
2,2010,5297,Alaska,2,,,,,,,
2,2010,5284,Alaska,3,,,,,,,
2,2010,5108,Alaska,4,,,,,,,
2,2010,5042,Alaska,5,,,,,,,
2,2010,5034,Alaska,6,,,,,,,
2,2010,4985,Alaska,7,,,,,,,
2,2010,4921,Alaska,8,,,,,,,
2,2010,4961,Alaska,9,,,,,,,
2,2010,5044,Alaska,10,,,,,,,
2,2010,4932,Alaska,11,,,,,,,
2,2010,4899,Alaska,12,,,,,,,
2,2010,4941,Alaska,13,,,,,,,
2,2010,4927,Alaska,14,,,,,,,
2,2010,5047,Alaska,15,,,,,,,
2,2010,5143,Alaska,16,,,,,,,
2,2010,5149,Alaska,17,,,,,,,
2,2010,4896,Alaska,18,,,,,,,
2,2010,4489,Alaska,19,,,,,,,
