Year,STATE,NAME,SEX,AGE,Population
2010,18,Indiana,2,5,42839
2010,19,Iowa,2,5,19761
2010,20,Kansas,2,5,20018
2010,21,Kentucky,2,5,27787
2010,22,Louisiana,2,5,30188
2010,23,Maine,2,5,7150
2010,24,Maryland,2,5,35883
2010,25,Massachusetts,2,5,36980
2010,26,Michigan,2,5,60245
2010,27,Minnesota,2,5,35304
2010,28,Mississippi,2,5,20283
2010,29,Missouri,2,5,38257
2010,30,Montana,2,5,5996
2010,31,Nebraska,2,5,12867
2010,32,Nevada,2,5,18148
2010,33,New Hampshire,2,5,7320
2010,34,New Jersey,2,5,54497
2010,35,New Mexico,2,5,14269
2010,36,New York,2,5,112683
2010,37,North Carolina,2,5,62159
2010,38,North Dakota,2,5,4101
2010,39,Ohio,2,5,71611
2010,40,Oklahoma,2,5,25605
2010,41,Oregon,2,5,23068
2010,42,Pennsylvania,2,5,72626
2010,44,Rhode Island,2,5,5816
2010,45,South Carolina,2,5,29091
2010,46,South Dakota,2,5,5721
2010,47,Tennessee,2,5,40267
2010,48,Texas,2,5,190143
2010,49,Utah,2,5,25195
2010,50,Vermont,2,5,3258
2010,51,Virginia,2,5,50319
2010,53,Washington,2,5,42251
2010,54,West Virginia,2,5,10150
2010,55,Wisconsin,2,5,35669
2010,56,Wyoming,2,5,3811
2010,1,Alabama,1,6,31073
2010,2,Alaska,1,6,5249
2010,4,Arizona,1,6,46424
2010,5,Arkansas,1,6,20109
2010,6,California,1,6,256476
2010,8,Colorado,1,6,36037
2010,9,Connecticut,1,6,22476
2010,10,Delaware,1,6,5783
2010,11,District of Columbia,1,6,2700
2010,12,Florida,1,6,109136
2010,13,Georgia,1,6,70456
2010,15,Hawaii,1,6,8767
2010,16,Idaho,1,6,12523
2010,17,Illinois,1,6,87755
2010,18,Indiana,1,6,45772
2010,19,Iowa,1,6,20765
2010,20,Kansas,1,6,20785
2010,21,Kentucky,1,6,29005
2010,22,Louisiana,1,6,31243
2010,23,Maine,1,6,7604
2010,24,Maryland,1,6,37359
2010,25,Massachusetts,1,6,39241
2010,26,Michigan,1,6,64236
2010,27,Minnesota,1,6,36938
2010,28,Mississippi,1,6,21005
2010,29,Missouri,1,6,40102
2010,30,Montana,1,6,6193
2010,31,Nebraska,1,6,13489
2010,32,Nevada,1,6,18669
2010,33,New Hampshire,1,6,7690
2010,34,New Jersey,1,6,57594
2010,35,New Mexico,1,6,14503
2010,36,New York,1,6,118770
2010,37,North Carolina,1,6,64754
2010,38,North Dakota,1,6,4243
2010,39,Ohio,1,6,76002
2010,40,Oklahoma,1,6,26850
2010,41,Oregon,1,6,24351
2010,42,Pennsylvania,1,6,76640
2010,44,Rhode Island,1,6,6197
2010,45,South Carolina,1,6,30022
2010,46,South Dakota,1,6,5874
2010,47,Tennessee,1,6,42011
2010,48,Texas,1,6,197635
2010,49,Utah,1,6,26026
2010,50,Vermont,1,6,3593
2010,51,Virginia,1,6,52528
2010,53,Washington,1,6,44188
2010,54,West Virginia,1,6,10827
2010,55,Wisconsin,1,6,37775
2010,56,Wyoming,1,6,3967
2010,1,Alabama,2,6,29667
2010,2,Alaska,2,6,5034
2010,4,Arizona,2,6,44536
2010,5,Arkansas,2,6,19346
2010,6,California,2,6,245971
2010,8,Colorado,2,6,34559
2010,9,Connecticut,2,6,21605
2010,10,Delaware,2,6,5605
2010,11,District of Columbia,2,6,2672
2010,12,Florida,2,6,104785
2010,13,Georgia,2,6,68065
2010,15,Hawaii,2,6,8193
